Correct,Correct Score,Incorrect,Incorrect Score,Result
Je n'aime personnne.,1005.55304,J'aime personne.,252.01715,0
Je n'aime voir personne.,264.2591,J'aime voir personne,450.76352,1
Je ne deteste personne.,1381.1173,Je deteste personne.,886.48303,0
Je ne suis d'accord avec personne.,39.063923,Je suis d'accord avec personne.,73.00677,1
Je n'adore personne.,479.54797,J'adore personne.,437.58755,0
Je ne vois personne.,322.9761,Je vois personne.,4072.587,1
Je ne visite personne.,1515.015,Je visite personne.,8716.792,1
Tu n'aimes personne.,331.8363,Tu aimes personne .,24795.648,1
Tu n'aimes voir personne.,343.0224,Tu aimes voir personne,19013.496,1
Tu ne detestes personne.,323.591,Tu detestes personne.,287.95013,0
Tu n'es d'accord avec personne.,99.85796,Tu es d'accord avec personne.,361.97388,1
Tu n'adores personne.,869.3232,Tu adores personne.,8437.937,1
Tu ne vois personne.,344.5491,Tu vois personne.,11676.778,1
Tu ne visites personne.,1488.1517,Tu visites personne.,15982.075,1
Toby n'aime personne.,4321.55,Toby aime personne.,47253.63,1
Brigitte n'aime voir personne.,374.89313,Brigite aime voir personne.,14602.058,1
Léo ne deteste personne.,860.4269,Léo deteste personne.,5319.649,1
Stephan n'est d'accord avec personne.,283.52255,Toby est d'accord avec personne.,571.8627,1
Chloé n'adore personne.,453.96713,Chloé adore personne.,792.18555,1
Eloise ne voit personne.,441.21463,Eloise voit personne.,4009.8105,1
Anaïs ne visite personne.,1901.7931,Anaïs visite personne.,35866.066,1
Nous n'aimons personnne.,2814.0137,Nous aimons personne.,8418.613,1
Nous n'aimons voir personne.,390.81772,Nous aimons voir personne,10228.996,1
Nous ne detestons personne.,165.1621,Nous detestons personne.,365.23788,1
Nous ne sommes d'accord avec personne.,54.46442,Nous sommes d'accord avec personne.,84.95308,1
Nous n'adorons personne.,1477.7908,Nous adorons personne.,9527.338,1
Nous ne voyons personne.,474.59244,Nous voyons personne.,35678.3,1
Nous ne visitons personne.,472.4326,Nous visitons personne.,7859.421,1
Vous n'aimez personnne.,1959.8385,Vous aimez personne.,17518.559,1
Vous n'aimez voir personne.,539.20654,Vous aimez voir personne,17474.191,1
Vous ne detestez personne.,204.39406,Vous detestez personne.,663.4422,1
Vous ne êtes d'accord avec personne.,115.47107,Vous êtes d'accord avec personne.,125.34411,1
Vous n'adorez personne.,2454.279,Vous adorez personne.,3592.4827,1
Vous ne voyez personne.,646.6934,Vous voyez personne.,26665.068,1
Vous ne visitez personne.,2505.4111,Vous visitez personne.,163557.2,1
Ils n'aiment personnne.,2123.8555,Ils aiment personne.,5239.538,1
Ils n'aiment voir personne.,387.30215,Ils aiment voir personne,5436.9688,1
Ils ne detestent personne.,268.3096,Ils detestent personne.,573.70593,1
Ils ne sont d'accord avec personne.,56.91122,Ils sont d'accord avec personne.,102.799355,1
Elles n'adorent personne.,1015.2006,Elles adorent personne.,3919.5764,1
Elles ne voient personne.,313.05856,Elles voient personne.,3213.7366,1
Elles ne visitent personne.,572.2888,Elles visitent personne.,6521.551,1
Personne ne travaille toute la journée.,86.48322,Personne travaille toute la journée.,206.86491,1
Personne ne voyage à Paris.,356.52258,Personne voyage à Paris.,572.0645,1
Personne n'existe.,1089.7529,Personne existe.,8551.488,1
Personne ne mange le pain.,155.9949,Personne mange le pain.,495.5305,1
Personne ne s'assoit.,218.00056,Personne s'assoit,508.47095,1
Personne ne regarde la télé.,149.18997,Personne regarde la télé.,876.5161,1
Personne ne court vite.,759.8568,Personne court vite.,4819.1753,1
Personne ne skie en montée.,317.0468,Personne ski en montée.,6099.2227,1
Je n'ai vu aucun parent.,327.96527,J'ai vu aucun parent.,552.634,1
Je n'ai vu aucun professeur.,342.69772,J'ai vu aucun professeur.,582.66504,1
Je n'ai vu aucun étudiant.,385.078,J'ai vu aucun étudiant.,660.0095,1
Je n'ai engagé aucun soldat.,632.2932,J'ai engagé aucun soldat.,1354.8846,1
Je n'ai touché aucun arbre.,508.89474,J'ai touché aucun arbre.,915.6017,1
Je n'ai recherché aucun livre.,771.8379,J'ai recherché aucun livre.,826.1571,1
Je n'ai entendu aucune chanson.,295.80588,J'ai entendu aucune chanson.,473.38828,1
Je n'ai dit aucun nom.,355.70413,J'ai dit aucun nom.,487.3723,1
Je n'ai trouvé aucun trésor.,388.21405,J'ai trouvé aucun trésor.,700.8449,1
Je n'ai commis aucun crime.,192.81638,J'ai commis aucun crime.,375.75537,1
Tu n'as vu aucun étudiant.,948.0026,Tu as vu aucun étudiant.,6174.5503,1
Tu n'as engagé aucun soldat.,871.4897,Tu as engagé aucun soldat.,8197.302,1
Tu n'as touché aucun arbre.,598.5056,Tu as touché aucun arbre.,5187.6157,1
Tu n'as recherché aucun livre.,1297.7471,Tu as recherché aucun livre.,9339.891,1
Tu n'as entendu aucune chanson.,521.05176,Tu as entendu aucune chanson.,3760.0632,1
Tu n'as dit aucun nom.,667.483,Tu as dit aucun nom.,2789.0398,1
Tu n'as trouvé aucun trésor.,485.30948,Tu as trouvé aucun trésor.,4660.342,1
Tu n'as commis aucun crime.,277.41165,Tu as commis aucun crime.,2081.184,1
Toby n'a vu aucun étudiant.,5445.146,Toby a vu aucun étudiant.,20244.645,1
Brigitte n'a engagé aucun soldat.,803.6004,Brigitte a engagé aucun soldat.,2325.744,1
Léo n'a touché aucun arbre.,745.521,Léo a touché aucun arbre.,2894.336,1
Stephan n'a recherché aucun livre.,3672.4885,Stephan a recherché aucun livre.,10707.277,1
Chloe n'a entendu aucune chanson.,327.03516,Chloe a entendu aucune chanson.,481.9782,1
Eloise n'a dit aucun nom.,437.41446,Eloise a dit aucun nom.,478.0108,1
Anaïs n'a trouvé aucun trésor.,642.78534,Anaïs a trouvé aucun trésor.,1714.4121,1
Joseph n'a commis aucun crime.,238.37918,Joseph a commis aucun crime.,447.88416,1
Nous n'avons vu aucun étudiant.,203.04903,Nous avons vu aucun étudiant.,964.84344,1
Nous n'avons engagé aucun soldat.,263.39972,Nous avons engagé aucun soldat.,1806.4542,1
Nous n'avons touché aucun arbre.,261.89423,Nous avons touché aucun arbre.,1005.7889,1
Nous n'avons recherché aucun livre.,411.88837,Nous avons recherché aucun livre.,1308.2542,1
Nous n'avons entendu aucune chanson.,152.49904,Nous avons entendu aucune chanson.,881.117,1
Nous n'avons dit aucun nom.,210.17877,Nous avons dit aucun nom.,827.758,1
Nous n'avons trouvé aucun trésor.,214.4568,Nous avons trouvé aucun trésor.,1036.7373,1
Nous n'avons commis aucun crime.,115.35865,Nous avons commis aucun crime.,488.58505,1
Vous n'avez vu aucun étudiant.,470.3996,Vous avez vu aucun étudiant.,1863.3024,1
Vous n'avez engagé aucun soldat.,676.7562,Vous avez engagé aucun soldat.,2630.493,1
Vous n'avez touché aucun arbre.,458.82648,Vous avez touché aucun arbre.,1173.6227,1
Vous n'avez recherché aucun livre.,753.0928,Vous avez recherché aucun livre.,4240.5063,1
Vous n'avez entendu aucune chanson.,349.62848,Vous avez entendu aucune chanson.,1227.6632,1
Vous n'avez dit aucun nom.,458.04395,Vous avez dit aucun nom.,743.6634,1
Vous n'avez trouvé aucun trésor.,687.1992,Vous avez trouvé aucun trésor.,1721.1221,1
Vous n'avez commis aucun crime.,217.82869,Vous avez commis aucun crime.,482.9539,1
Ils n'ont vu aucun étudiant.,676.0434,Ils ont vu aucun étudiant.,1234.6693,1
Ils n'ont engagé aucun soldat.,653.72577,Ils ont engagé aucun soldat.,1528.3943,1
Ils n'ont touché aucun arbre.,778.1995,Ils ont touché aucun arbre.,1432.7354,1
Ils n'ont recherché aucun livre.,1610.9205,Ils ont recherché aucun livre.,2267.1296,1
Elles n'ont entendu aucune chanson.,362.18726,Elles ont entendu aucune chanson.,1004.572,1
Elles n'ont dit aucun nom.,404.62827,Elles ont dit aucun nom.,582.2723,1
Elles n'ont trouvé aucun trésor.,297.12695,Elles ont trouvé aucun trésor.,633.2654,1
Elles n'ont commis aucun crime.,135.53717,Elles ont commis aucun crime.,263.05884,1
,,,,96
